utterances,gender_sensitivity,target_gender,keywords,preceding_context,following_context,term,session,plenary_session,committee_name,annotator
"그런데 경기도의 경우에는 아까도 말씀드린 대로 6억의 기계적인 배분 외에 현재 청소년지원시설 1개소, 일반지원시설 1개소, 상담소 2개소만 두고 성매매 여성과 관련된 특성화된 프로그램이라든지 쉼터와 상담소를 이용하도록 해야 됨에도 불구하고 이와 같은 대책이 전혀 없다는 것입니다. 의정부 쪽에 있는 제2청에서 약간의 시도는 있었습니다마는 아주 미미한 것이었고, 법률 및 의료 지원이 대단히 많이 필요함에도 불구하고 전혀 없었으며 재활 및 직업교육을 위한 쉼터의 필요성을 알면서도 여기에 대한 대책이 너무나 없었다는 것입니다. 또 하나 중요한 사실은 기지촌 내의 여러 가지 성매매와 관련해서 단속이 될 경우에 외국의 여성들은 강제출국을 당한다든지 또는 성매매알선등행위의처벌에관한법률에 의해서 출입국관리법 제46조의 강제퇴거 규정 등이 유예되거나 일시 취소되어서 국내에 일정기간 동안 체류하면서 업주에 대한 고소․배상 신청 등을 할 수 있게 규정이 되어 있습니다. 그런데 외국 불법체류 성매매 여성들이 갈 수 있는 곳은 아무 데도 없는 상황이기 때문에 단속을 하면서도 나름대로는 이분들이 일시적으로 남아서 여러 가지 문제를 처리할 수 있도록 배려를 해 주어야 됩니다. 이런 부분에 있어서 아무런 대책이 없는 것으로 알고 있습니다.",H,여성,"성매매 피해여성, 불법체류",,,17,,,보건복지위원회(2004년10월11일),R
그리고 거기에 더해서 여성들이 아이를 낳고 육아를 하는 데 사회변화에 따라서 새로운 여건을 조성해 줘야 되는데 그것을 제대로 조성해 주지 못한 사회적 책임이 있을 것이고요.,H,여성,"육아, 사회적 책임",,,17,,,보건복지위원회(2004년10월11일),R
특히 근로주부여성들을 위한 보육시설을 좀더 적극적으로 확대하고 지원하는 방향으로 저출산 문제에 대한 대책을 강구하고자 하고 있습니다.,H,여성,"근로주부여성, 보육시설",,,17,,,보건복지위원회(2004년10월11일),R
"피해를 입은 여성 노동자들에게는 기본적인 상담부터 무료 법률상담, 노동부 진정, 경찰 조사에 재판 출석 동행까지 정말 다양한 지원을 제공해 온 정부 지원 민간사업이고 그리고 98년도부터 지금까지 역사성을 가지고 이어져 온, 정말 정부 지원을 바탕으로 민간이 그 전문성과 역량을 발휘하는 검증된 사업 모델이라는 평가를 받고 있습니다.",H,여성,여성 노동자,"장혜영 위원: 장관님, 고용평등상담실 사업에 대해서 알고 계시지요? 고용노동부장관 이정식: 예. 장혜영 위원: 직장 내 성차별․성희롱으로부터 여성 노동자들을 지키는 최후의 보루, 흔히 이렇게 일컬어지는 사업입니다. 고용노동부장관 이정식: 예, 그렇습니다.","그런데 내년도 고용부 예산에서 이 고용평등상담 지원 예산이 12억 원에서 5억 5000만 원으로 말 그대로 반토막이 났더라고요. 그런데 제가 사정을 살펴보니까 단순히 사업 규모를 축소한 게 아니라 고용부가 지원을 하고 있던 19개 민간 상담소의 운영을 폐지하고 이 상담 기능을 고용노동부의 8개 지방관서로 이관을 해서 직접 수행하겠다 이런 얘기였는데요. 이렇게 해야 되는 이유가 무엇입니까?""",21,,,예산결산특별위원회(2023년11월6일(월)),R
"게다가 윤석열 정부의 국정과제 가운데에는 권력형 성범죄 또 디지털 성범죄, 가정폭력, 교제폭력, 스토킹 범죄를 5대 폭력으로 규정을 하고 그 피해자들을 적극 지원하겠다 이렇게 국민 앞에 약속한 바도 있습니다. 잘 아시겠지만 지난 신당역 스토킹 피해자는 직장 내 성폭력의 피해자이고요. 수많은 권력형 성범죄 그리고 디지털 성범죄 역시 일터에서 일어나고 있습니다. 이런 상황을 감안할 때 민간 고용평등상담실의 사업 폐지 그리고 관으로의 이관, 근본적으로 재고하셔야 하지 않겠습니까?",H,모두,"성폭력, 스토킹","저도 고용부에 서면질의를 넣어 보니까 방금 장관님께서 해 주신 것과 비슷한 답변이 왔고 그 근거로 보조사업 연장평가보고서, 방금 전에 언급해 주신 자료를 제출했습니다. 그 보고서를 훑어보니까 확실히 사업 방식을 변경해야 된다는 얘기는 있었는데요. 보고서 어디에도 이 사업을 축소하거나 아니면 관으로 이관하거나 아니면 폐지해야 된다 이런 얘기는 없었고요. 구체적인 개선사항 안에는 유사․중복사업 간에 협력체계를 마련하고 지역 간 격차를 조정하는 노력이 필요하다 이런 얘기만 있었습니다. 그래서 저는 이런 연장평가를 가지고 민간에서 매년 상담실적도 늘어나고 있는 사업을 갑작스럽게 폐지하고 고용부로 이관하는 것이 별로 적절한 조치라는 생각이 들지가 않아요. 그리고 만일 그런 조치가 일어났을 경우에 어떤 종류의 문제가 생기는지 장관님께 말씀을 드리고 싶습니다. 우선은 당장에 사업 공백 문제가 발생합니다. 국회가 예산을 편성하고 확정한 이후에 고용평등상담지원관을 또 고용부에서 채용을 할 때까지의 사업 공백은 피할 수가 없습니다. 그 기간에 일어나는 피해의 피해자들은 사실상 상담의 사각지대에 놓이게 되는 셈이고요. 다음으로는 상담의 질 저하 문제가 있습니다. 현행 민간 고용평등상담실은 짧게는 5년이고 길게는 20여 년 동안 피해자 상담의 경험과 노하우를 축적해 온 곳들입니다. 그런데 당장 내년부터 이 사업이 이관될 경우에 이런 노하우들은 단절이 되고 오로지 매뉴얼에 따른 경직된 운영만이 이루어질 것으로 보이는데 심지어 그 매뉴얼조차도 지금은 고용부에 존재하지 않습니다. 그리고 고용부가 이 사업에 책정한 상담인력의 인건비도 굉장히 낮습니다. 내년도 월 최저임금 206만 원인 것 잘 알고 계실 텐데요. 고용부가 낸 자료를 가지고 계산을 해 보면 8개 지청에 2명씩 고용을 하는데 이들의 인건비가 월 161만 원밖에 안 됩니다. 유능한 인력들이 지원할 수 있는 구조 자체가 안 되는 거고요. 연장평가보고서에서도 지적하다시피 지역 격차를 해소해야 되는 문제가 있는데 현행 19개의 고용평등상담실이 운영되는 데에 비해서 8개 지청으로 축소가 될 경우에는 물리적인 거리 문제 때문에 오히려 이것이 지역 격차를 더 심화시키는 결과를 발생시킬 수 있다는 문제도 있습니다. 실제 상담 사례를 보면 사업장은 익산이고 집은 군산인 직장 내 성희롱 피해자가 있었는데 양쪽 어디에다가 피해를 호소해야 될지 몰라서 결국은 고용평등상담실에 전화를 건 사례가 있었습니다. 민간 상담실을 폐지하고 모든 상담을 다 이런 고용부 지청으로 이관을 한다면 이런 사례가 더 많아질 거라고 생각을 합니다. 끝으로, 상담 목표 설정 자체가 너무 저조합니다. 아까 같은 돈을 쓰더라도 훨씬 더 효율적으로 써야 된다 이런 말씀에 저도 공감하거든요. 그런데 예산은 절반으로 줄었는데 작년의 고용평등상담실의 전체 상담 건수가 1만 3200여 건입니다. 그런데 고용부가 이관을 전제로 설정한 내년도 상담 목표 건수는 1790건밖에 되지 않아서 기존 사업의 14%밖에 안 됩니다. 이것은 이미 현존하고 있는 피해의 규모를 알면서도 정부가 적극적으로, 어떻게 보면 결과적으로는 그 피해자들을 방치하는 것과 다름없는 일이 된다고 저는 생각을 해요.",,21,,,예산결산특별위원회(2023년11월6일(월)),R
"기업은행이 지금 제가 이름 붙인 이 2등 정규직이 3700여 명인데 이 중의 거의 90%가 여성입니다. 산업은행도 마찬가지입니다. 92%가 여성이에요. 신한은행, 92%가 여성이에요. 말이 정규직, 비정규직 얘기지 무기계약직은 사실 여성차별 제도입니다. 그런데 기업은행장께 제가 이 말씀을 드리는 이유는 뭐냐 하면 대한민국에서 첫 여성은행장이 탄생한 데가 기업은행이고 또 다른 은행에 비해서 여성 임원도 많습니다. 그런데 대면업무를 하면서 고객들을 만나는 대다수 여성 직원들은 칠팔십 년대와 다름없는 처지에 있어요. 이게 지금 무기직 실상의 핵심이라는 것을 제가 말씀드리고요.",H,여성,"비정규직 여성, 여성차별","10년 전에 우리은행부터 시작해 가지고 여러 시중은행이 비정규직 정규직화를 추진했어요. 그래서 만든 게 무기직이라는 거예요. 아까 동료 위원이 무기직 통계를 이야기했는데 그 통계에 많은 함정이 있었습니다. 그런데 저렇게밖에 할 수 없는 게 회사마다 이름이 다 달라요. 기업은행은 준정규직․무기직이라고 하지만 산업은행은 특정직이라고 하고 또 국민은행은 LO직이라고 하고 또 우리은행은 개인금융서비스직군이라고 해요. 그러니까 무기계약직이라고 통계받아서 통계 작성한 게, 제가 가진 통계하고는 아주 다른 통계가 아까 나온 이유도 그런 겁니다. 그런데 제가 드리고 싶은 말씀은 뭐냐 하면 이게 무늬만 정규직이지 한마디로 2등 정규직이다. 그러니까 정규직화라는 명분으로 새로운 계급을 만든 거예요. 어떻게? 말하자면 여행원제도가 문제가 돼서 정규직화를 했는데 여성차별을 제도화한 겁니다. 그 실상을 한번 보도록 하겠습니다. (영상자료를 보며) 기업은행, 여기 통계 한번 봐 주세요.",,20,2017,,정무위원회(2017년10월23일),R
"아니, 제가 드리는 말씀은, 시간이 없으니까 이 얘기만 해 보세요. 기업은행 승진체계, 콘크리트 천장에다가 다시 신규채용 절차를 밟아서 승진을 해야 되는데 문제는 여기의 거의 90%가 여성이라는 거예요. 이래서 되겠습니까? 지금 TF 구성해서 전환하려고 하는 그 내용 중에 이 내용이 다 포함돼 있습니까?",H,여성,"콘크리트 천장, 여성 승진",,,20,2017,,정무위원회(2017년10월23일),R
"산업은행 업무현황을 보면 경영환경에서 첫머리에 저출산을 언급하고 있습니다. 우리나라의 작년 합계출산율이 한 1.17명 되는데요, 우리나라의 앞으로 가장 큰 경제에서의 리스크가 바로 저출산 문제라고 생각을 합니다. 그래서 국책은행인 기업은행에서도 특히 관심을 가져야 할 부분인데요, 기업은행뿐만 아니고 산업은행도 관심을 가져야 되겠지요. 특히 산업은행 같은 경우에 조금 더 문제가 많은 것 같은데요, 여기에 대해서 제가 좀 말씀을 드리려고 합니다. 지금 ‘남성 육아휴직 인센티브 강화’ 이러한 것이 국정과제로 있습니다. 제가 자료를 보니까 미취학연령대 자녀를 가진 남성 행원 수가 현재 455명인데요, 남성 육아휴직 신청 건수가 최근 5년간 전무하다가 올 하반기 들어서 단 두 건이 있을 뿐입니다. 휴직일수도 여성 임직원과 비교해서 매우 짧은데요, 앞으로 확대를 장려해야 될 것 같은데, 산업은행 회장님 의견이 어떻습니까?",H,여성,남성 육아휴직,,,20,2017,,정무위원회(2017년10월23일),R
"남성, 여성 구별 없이 육아휴직을 적극 활용하도록 제가 장려를 하고 있고요. 아직 제도적으로는 좀 더 검토해 봐야겠습니다마는 장려하고 있고, 뿐만 아니라 거기서 중요한 것은 제도적인 그런 육아휴직뿐만 아니라 경력단절 비슷한, 육아휴직 이후의 불이익 부분도 있기 때문에 그 부분에 대해서도 불이익이 없도록 철저히 한번 검토해서 보고하라고 제가 지시를 내렸습니다.",H,모두,남성 육아휴직,,,20,2017,,정무위원회(2017년10월23일),R
"많은 연구조사에 의하면, 저출산 문제 해결을 위해서 다각도로 노력을 해야 되겠지만 일과 가정의 양립 문제 또 양성평등 이런 것들을 많이 들고 있는데요. 또 산업은행의 여성임원 임직원 현황을 보면 2017년 현재 전체 임직원이 지금 한 3378명이 됩니다. 그중에 여성 현원도 1076명이나 되는데요. 1급 이상의 여성 임직원이 없은 지가 굉장히 오래됐습니다, 그렇지요? 반면에 1급 이상 남성 임직원 숫자가 109명입니다. 그러니까 109 대 0입니다. 상당히 문제가 있어 보이는데 개선방향이 어떻게 됩니까?",H,여성,여성 임원,,,20,2017,,정무위원회(2017년10월23일),R
"그 부분에 대해서는 2000년 이후, 2000년 이전에는 여성 직원이 거의 없었기 때문에 그러한 현상이 생기고요. 2000년 이후에 취업한 젊은 세대에는 여성비율이 많고 그 부분에 대해서는 여성들이 절대 피해 보지 않도록 제가 적극 인사를 꾸려 나가도록 하겠습니다.",H,여성,여성 임원,,,20,2017,,정무위원회(2017년10월23일),R
그다음에 최고령 수급자가 1600만 원 납부하고 5000만 원 받았고 99세 여성은 950만 원 납부하고 6500만 원 수령했다는 자료들은 다 아시지요?,L,여성,여성,,,20,2019,,교육위원회(2019년10월04일),R
"최장기 수급자의 경우도 530만 원 납부하고 5억 7000만 원, 또 여성 최장기 연금수급자는 510만 원 납부하고 4억 3000만 원 수령했다고 하는데 이것도 아시지요?",L,여성,여성 연금수급자,,,20,2019,,교육위원회(2019년10월04일),R
그래서 여성 이공계 학생들 지원과 여성과학인 양성에 중추적인 역할을 하는 깨끗한 기관으로 다시 태어나도록 노력하시기 바랍니다.,H,여성,여성과학인,,,20,2019,,과학기술정보방송통신위원회(2019년10월10일),R
그리고 저는 용감한 그 피해 여성 연구원이 문제를 제기했을 뿐이지 사실은 잠재되어 있는 많은 문제들이 있을 수 있다고 생각합니다. 왜냐하면 우월적인 지위에 있는 연구책임자가 그 연구를 보조하고 있는 연구원에게 언제든지 성희롱을 가할 수 있는 환경이 조성될 수 있기 때문입니다. 그래서 과기부에서는 기관들의 직원들 대상 성희롱 예방교육 실태를 조사하시고 그리고 직장 내 성희롱 발생 시의…. (발언시간 초과로 마이크 중단) (마이크 중단 이후 계속 발언한 부분) 대응 절차에 대해서도 점검하실 필요가 있다고 생각합니다.,H,모두,"성희롱, 예방교육","취임하신 지 얼마 안 돼서 사실은 정확하게 잘 모르실 일일 수도 있습니다. 앞에 박성중 위원님 질의하셨던 IBS 내에서 발생한 성희롱 사건에 관한 다른 각도에서의 문제 제기입니다. 이 건에 대해서 저도 관심을 가지고 죽 점검해 봤습니다만 8월 달에 성희롱 사건이 발생했는데 성희롱고충심의위원회를 10월 달에 개최하는, 두 달간 무슨 일이 있었는가에 관한 이야기입니다. 국회의원의 ‘성희롱 예방지침에 없는 내부조사위원회를 왜 거치게 했느냐’라는 질문에 대해서 ‘부르기는 내부조사위원회로 불렀지만 실제로는 그냥 면담이었다’ 이렇게 답변하셨습니다. 그러나 IBS의 관련 사건 법무대리인인 법무법인 오른하늘은 언론사에 ‘내부조사위원회를 진행했다’ 이렇게 답변했습니다. 첫 번째 문제입니다. 성희롱 예방지침에 없는 내부조사위원회를 개최하고 국회에는 사실과 다른 보고를 했다는 것입니다. 둘째는 회유와 무마를 시도한 문제입니다. 8월 22일에 내부조사위원회에서 실제로 피해자와 면담하는 과정에 ‘만일 IBS 본원에서 해당 건을 상정했을 때 성희롱고충위원회가 성추행이라고 판단하지 않는다면 향후 어떻게 할 것이냐’ 이러한 질문을 하는 것입니다. 이건 피해자의 입장에서 적어도, 면담이나 상담을 한 것도 아니고 피해자를 회유하거나 무마하려고 시도한 것으로 해석할 수 있습니다. ‘본원에서 받아들이지 않으면 너는 그다음에 어떻게 할래?’, 이건 본원에 받아들이지 않을 것이라는 것을 암시함으로써 피해자에게 이 건을 더 이상 문제 삼지 말라고 회유하고 압박한 것일 수 있다는 것입니다. 셋째는 앞에 말씀드렸던 법률대리인을 이 사건과 관련해서 선임한 것인데요. IBS는 이 성희롱 사건을 대응하기 위한 게 아니라 평소에 IBS에 대한 부당한 보도를 많이 한 한 언론을 상대하기 위해서 법무법인에게 언론 대응을 의뢰했다라고 주장하고 있습니다. 그러나 7월 23일 성희롱 문제의 취재가 시작되자 8월 6일에 법무법인과 계약을 체결한 것으로 미루어 보건대 성희롱 사건의 대응이 주목적이었던 것으로 보입니다. 일단 이러한 문제들에 대하여, IBS에서의 이런 일련의 대응들이 피해자인 그 연구원이 UNIST를 자퇴하기까지 이르는 원인을 제공했다고 보고 저는 이 문제에 관해서 기초과학연구원이 그 피해자에게 정당하고 적정하게 문제를 처리하지 못한 것에 대해서 공식적으로 사과해야 한다고 생각합니다. 그리고 IBS에서 이 성희롱 사건 취재를 대응하기 위해 법무법인과 계약을 체결한 경위와 과정에 대해서 그리고 성희롱․성폭력 예방지침에 없는 사전조사위원회를 개최해서 회유와 무마 의혹을 받을 수 있는 질문을 한 것 등에 대해서는 과기부에서의 감사가 필요하다고 문미옥 차관께 요청을 드립니다.",,20,2019,,과학기술정보방송통신위원회(2019년10월10일),R
"4대 과기원 총장님들께 부탁말씀입니다. 4대 과기원의 여학생 비율이 24%입니다. 약간씩 차이는 있지만 평균 24%인데요. 여성교원, 교수 비율은 지금 10%가 채 안 됩니다. 거기다가 정교수 비율은 훨씬 더 낮고요. 그래서 저희가 국공립대학교 교원 비율이나 다른 사립대학교 교원 비율보다 여성교원 비율이 훨씬 낮기 때문에 4대 과기원 양성평등교수임용추진법을 발의를 해서 지난 8월 달에 그게 통과가 됐습니다. 알고 계시리라고 생각을 하는데요. 이게 강제적인 것은 아니고 양성평등 임용을 위해서 필요한 정책을 수립․시행하도록 하고 그 추진 실적을 과기정통부에 제출하도록 해서 교수 임용할 때 특정 성별 편중 문제를 해결하도록 하는 근거를 마련해 놨는데, 사실 저도 기관장을 해 봤지만 그냥 가만히 놔두면 여성교원 비율을 높이는 게 쉽지가 않습니다. 총장님들이 적극적으로 챙겨 주시기를 부탁을 드리고요.",H,여성,"여성교원, 양성평등 임용",,,20,2019,,과학기술정보방송통신위원회(2019년10월10일),R
"KAIST가 2018년에 여성가족부가 주관하는 가족친화인증기관으로 선정이 됐습니다. 자녀 출산, 양육․교육 지원, 부양가족 지원 이런 것을 잘하고 있다고 인정을 받은 거고 제가 알고 있기로도 KAIST는 사실은 0세 반부터 애들을 봐 주는 어린이집이 있고 굉장히 잘하는 것으로 알고 있었는데 의외로 비정규직 직원들이 출산휴가를 쓴 사람이 거의 없더라고요. 여태까지 못 냈대요. 왜냐하면 내면 고용 불안, 그러니까 교수님한테 잘릴까 봐, 그다음에 자기가 하고 나면 연구비가 부족한데 그 대체인력을 못 구할까 봐, 돈을 못 줄까 봐. 그래서 이것에 대해서 어떻게 대처를 하실 것인지, 아마 KAIST는 일단 초안은 나온 것 같은데 다른 데도 같이 그 내용을 공유해 주시고 KAIST가 어떻게 하기로 했는지 말씀을 해 주셨으면 좋겠고요.",H,모두,"출산휴가, 자녀출산",,,20,2019,,과학기술정보방송통신위원회(2019년10월10일),R
"방송과 관련하여서는 공정성ㆍ독립성을 바탕으로 심의규정에 입각한 공정 심의 실현과 합의제 정신 구현에 노력하고 있습니다. 특정 성별, 장애를 희화화하는 등 시청자의 건전한 가치관을 훼손할 우려가 있는 프로그램은 출연자와 소수자의 인권 보호를 위해 성평등 감수성의 향상과 제작진의 인권 의식 제고를 목표로 심의하고 있으며 동일한 프로그램이나 사안이 주의를 받았음에도 유사한 사례가 반복되는 경우 시청자 보호를 최우선 가치로 삼아 엄격히 심의하고 있습니다.",H,모두,성평등감수성,,,20,2018,,과학기술정보방송통신위원회(2018년10월11일),R
디지털 성범죄 등 인권 침해 정보와 관련하여서는 피해자들의 즉각적인 권리구제를 위해 상시적으로 심의 체계가 운영될 수 있도록 개선하고 해당 불법 촬영물들의 심의 처리 시간을 최소화함으로써 재배포 등으로 인해서 일어나는 피해 확산을 줄여서 양성평등 실현과 혐오 표현 대응 등 사회적 약자의 권익을 보호하는 인터넷문화 조성에 앞장서도록 하겠습니다.,H,모두,디지털 성범죄,,,20,2018,,과학기술정보방송통신위원회(2018년10월11일),R
여기 보면 텀블러에서 쉽게 찾을 수 있는 화면이랍니다. ‘ㄱㄷㅇ’이라는 것이 이 밑에 있는데 이게 요샛말로 하자면 급식체 초성어예요. 초성만 쓰는 것인데 저게 무슨 단어인지 아시겠어요? 저게 고등어랍니다. 고등어는 고등학생을 가리키는 말이라는데 지금 저런 것을 찍어서…… 텀블러가 몰카천국이에요. 다른 것 하나 더 보시겠어요. 이것은 ‘ㅇㅅ’인데 ‘업스’라는 거랍니다. ‘업스커트’의 준말이라는데 치마 밑에서 찍은 사진을 ‘업스’라고 한답니다. 그런데 이런 사진이 널렸어요. 그러니까 우리가 몰카 때문에 여성들이 시위도 하고 그러지 않습니까? 그런데 텀블러에 들어가면 이런 것이 그냥 천지로 널려 있는 거예요.,H,여성,몰카,,,20,2018,,과학기술정보방송통신위원회(2018년10월11일),R
"이때 후보자의 판결에 대해서 저희 여성계에서는 굉장히 환영의 뜻을 밝힌 바 있습니다. 그런데 지금 이 호주제도는 상당히 문제가 있는 제도로서 유엔의 여성차별철폐협약에서도, 우리가 비준국인데, 여기에서도 이것이 위배되기 때문에 이의 폐지를 유엔에서도 권고하고 있습니다. 많은 예가 있지만 예를 하나 들자면 자녀의 호적이 아버지의 호적에 입적되도록 하고 결혼해서 분가하지 않는 한은 아버지 호적에서 나와서 다른 호적으로 들어갈 수 없도록 되어 있습니다. 그래서 지금 현재 많은 이혼여성들이 자기의 아이에 대해서 양육권과 친권을 가지고 일가를 창립해서 단독호주가 되더라도 함께 사는 자녀의 경우에는 여전히 남편의 호적에 남아 있지요. 따라서 어머니와는 단지 주민등록을 떼보면 동거인으로 기록되어 있습니다. 그래서 주민등록만 떼봐도 이혼경력이 단번에 드러나서 이런 자녀들이 학교에서 왕따를 당하는 경우들이 많습니다. 이 호주제도가 혼인과 가족생활에 있어서 양성평등조항을 위반했다는 주장에 대해서 과연 호주제도를 존치해야 되는지, 내용이 거의 없어진 이것을 이제는 폐지해야 되는지에 대한 權 誠 후보자님의 견해를 간단히 말씀해 주시면 감사하겠습니다.",H,모두,"호주제도, 양성평등",,,16,,,인사청문특별위원회(헌재)(2000年9月6日(水)),R
여성의 우선해고에 대해서 여쭈어 보겠습니다. 형식적으로는 합법이고 사정상은 그럴 수 있다고 하는 일이 우리 사회에서는 실제에 있어서 여성에게 엄청난 차별을 주는 일이 있습니다. 그것이 뭐냐 하면 지난 IMF 이후에 구조조정을 하면서 해고를 할 때 사내에 부부가 같이 근무를 할 경우에 한 사람이 사직을 하지 않으면 순환명령을 내리고 그 다음에는 해고의 영순위로 하겠다 이렇게 하고 나니까 부부가 가서 상의를 하는데 주로 남편으로 하여금 집에 가서 부인을 사퇴토록 종용하는 것입니다. 그러면 우선 다 누구라도 일해서 먹고살아야 되는 입장이니까 부인이 사직을 하게 되어서 농협의 경우에는 99년도에 762쌍 중에 752쌍이 사직을 했습니다. 그런데 그 중에 99%가 여자입니다. 이것은 자의에 의한 사직의 형식을 빌렸기 때문에 형식적으로는 합법입니다. 또 두 사람 중의 한 사람 나가는 것이 사정상 그럴 수 있지 않겠느냐 하는 것도 또 일응 이해될 수 있습니다. 그러나 실제에 있어서는 이런 이름으로 계속 여성이 우선해고된다고 한다면 여성의 일자리 보장은 어려울 것입니다.,H,여성,"여성 차별, 여성 우선해고",,,16,,,인사청문특별위원회(헌재)(2000年9月6日(水)),R
지금 말씀하신 대로 그렇게 해서 여성들한테 불리한 처우를 하는 것은 바람직하지 않다고 생각합니다.,H,여성,여성 우선해고,全在姬委員: 여성의 우선해고에 대해서 여쭈어 보겠습니다. 형식적으로는 합법이고 사정상은 그럴 수 있다고 하는 일이 우리 사회에서는 실제에 있어서 여성에게 엄청난 차별을 주는 일이 있습니다. 그것이 뭐냐 하면 지난 IMF 이후에 구조조정을 하면서 해고를 할 때 사내에 부부가 같이 근무를 할 경우에 한 사람이 사직을 하지 않으면 순환명령을 내리고 그 다음에는 해고의 영순위로 하겠다 이렇게 하고 나니까 부부가 가서 상의를 하는데 주로 남편으로 하여금 집에 가서 부인을 사퇴토록 종용하는 것입니다. 그러면 우선 다 누구라도 일해서 먹고살아야 되는 입장이니까 부인이 사직을 하게 되어서 농협의 경우에는 99년도에 762쌍 중에 752쌍이 사직을 했습니다. 그런데 그 중에 99%가 여자입니다. 이것은 자의에 의한 사직의 형식을 빌렸기 때문에 형식적으로는 합법입니다. 또 두 사람 중의 한 사람 나가는 것이 사정상 그럴 수 있지 않겠느냐 하는 것도 또 일응 이해될 수 있습니다. 그러나 실제에 있어서는 이런 이름으로 계속 여성이 우선해고된다고 한다면 여성의 일자리 보장은 어려울 것입니다. 후보자께서는 형식적인 것이나 법조문에 얽매이지 않고 정말 근본적인 취지를 늘 고민하신다고 하셨기 때문에 이 문제를 어떻게 다루어야 한다고 생각하시는지 말씀해 주시면 좋겠습니다.,,16,,,인사청문특별위원회(헌재)(2000年9月6日(水)),R
이것은 전 금융기관 또 많은 기업에서 이루어졌던 일이고 앞으로도 그런 우려가 있기 때문에 이런 문제에 대해서는 관행을 시정한다는 측면에서 헌법재판소에서 중요한 일을 해주셨으면 좋겠습니다.,H,여성,여성 우선해고,전재희의원: 여성의 우선해고에 대해서 여쭈어 보겠습니다. 형식적으로는 합법이고 사정상은 그럴 수 있다고 하는 일이 우리 사회에서는 실제에 있어서 여성에게 엄청난 차별을 주는 일이 있습니다. 그것이 뭐냐 하면 지난 IMF 이후에 구조조정을 하면서 해고를 할 때 사내에 부부가 같이 근무를 할 경우에 한 사람이 사직을 하지 않으면 순환명령을 내리고 그 다음에는 해고의 영순위로 하겠다 이렇게 하고 나니까 부부가 가서 상의를 하는데 주로 남편으로 하여금 집에 가서 부인을 사퇴토록 종용하는 것입니다. 그러면 우선 다 누구라도 일해서 먹고살아야 되는 입장이니까 부인이 사직을 하게 되어서 농협의 경우에는 99년도에 762쌍 중에 752쌍이 사직을 했습니다. 그런데 그 중에 99%가 여자입니다. 이것은 자의에 의한 사직의 형식을 빌렸기 때문에 형식적으로는 합법입니다. 또 두 사람 중의 한 사람 나가는 것이 사정상 그럴 수 있지 않겠느냐 하는 것도 또 일응 이해될 수 있습니다. 그러나 실제에 있어서는 이런 이름으로 계속 여성이 우선해고된다고 한다면 여성의 일자리 보장은 어려울 것입니다. 후보자께서는 형식적인 것이나 법조문에 얽매이지 않고 정말 근본적인 취지를 늘 고민하신다고 하셨기 때문에 이 문제를 어떻게 다루어야 한다고 생각하시는지 말씀해 주시면 좋겠습니다. 헌법재판소 재판관 후보자 권성:지금 말씀하신 대로 그렇게 해서 여성들한테 불리한 처우를 하는 것은 바람직하지 않다고 생각합니다. 전재희의원:이것은 전 금융기관 또 많은 기업에서 이루어졌던 일이고 앞으로도 그런 우려가 있기 때문에 이런 문제에 대해서는 관행을 시정한다는 측면에서 헌법재판소에서 중요한 일을 해주셨으면 좋겠습니다.,,16,,,인사청문특별위원회(헌재)(2000年9月6日(水)),R
"자녀의 성은 아버지의 성을 따르고 아버지를 알 수 없는 경우에만 어머니의 성을 따르게 되어 있습니다. 자녀는 아버지 반, 어머니 반으로 태어납니다. 그리고 남녀 양성평등의 규정에 위반된다고 생각되는데 후보의 견해는 어떻습니까?",H,여성,"자녀의 성, 양성평등",,,16,,,인사청문특별위원회(헌재)(2000年9月6日(水)),R
"남녀평등이라고 하는 것이 그런 문제에까지 그대로 적용될 수는 없으리라고 생각합니다. 이것은 우리가 지금 이 시점에서 그런 제도를 만든 것이 아니고 수천 년의 인류역사를 거쳐오면서 그와 같은 선택이 이루어졌기 때문에 그것 자체를 지금 바로 평등 위반이다, 어차피 누구 둘 중의 한 사람의 성은 따라야 되는데 두 사람의 성을 다 따르기는 어려울 것이고 그래서 그것 자체가 바로 평등 위반이다 이렇게 보기는 어렵지 않을까 생각합니다.",L,여성,"제도, 인류역사",,,16,,,인사청문특별위원회(헌재)(2000年9月6日(水)),R
"그러나 만약에 지금까지 양자의 부모 중에 아버지, 어머니 성 어느 것이나 선택적으로 따르기로 했다고 한다면 남자인 아버지의 성만 따르라고 한다면 또다시 그런 답이 나오지 않겠습니까? 그런 측면에서 우리의 사고가 좀 더 유연해져야 된다고 저는 생각을 하고 특히 대개 이혼한 부부의 경우에는 어머니가 그 자녀를 기릅니다. 미혼모의 경우에도 어머니가 기르는 경우가 더 많은 것을 고려할 때 이것은 아이의 보호를 위해서나 어머니의 친권 보호를 위해서도 필요하다고 생각되어서 질의했습니다.",H,모두,"어머니의 친권 보호, 어머니 성",,,16,,,인사청문특별위원회(헌재)(2000年9月6日(水)),R
