utterances,utterances_en,gender_sensitivity,target_gender,keywords,preceding_context,following_context,term,session,plenary_session,committee_name,annotator
"그래서 어떤 정책이 실효성을 거두기 위해서는, 다 아시겠지만 아무리 많은 예산을 투입해서 정책을 내도 욕구에 대한 정확한 조사가 없고 그 욕구에 대한 정확도를 알지 못하면 실제 그것에 대해서 당사자들이 만족하지 않는다는 것을 다시 한번 강조하고 싶습니다. 그래서 여성장애인의 생애주기별 지원체계가 중요하다고 생각합니다. 그런데 제가 전에 여성부에도 수없이 얘기했던 부분입니다마는 현재 여성장애인에 대한 정확한 통계자료나 연구자료가 없습니다. 그래서 2005년도에 실시하는 장애인 실태조사에서 여성장애인에 관한 항목을 강화하여 정확한 욕구조사나 실태조사가 나올 수 있도록 장관님께서 국장님을 많이 뒤에서 조이시기도 하고 격려해 주시기를 부탁드리고, 그것에 대한 관심을 부탁드립니다.","I want to emphasize that, as you all know, no matter how much budget is invested, for a policy to be effective, accurate needs assessments and knowledge of the survey's accuracy are essential, leading to low beneficiary satisfaction. That's why I believe a life-cycle support system for women with disabilities is crucial. As I've repeatedly mentioned to the Ministry of Gender Equality and Family, there are currently no accurate statistics or research data on women with disabilities. Therefore, I ask the Minister to encourage the Director General and take an active interest in strengthening the inclusion of women with disabilities in the 2005 Survey on the Status of Persons with Disabilities to ensure accurate needs assessments and surveys.",H,Women,Women with disabilities,,,17,250,,Health and Welfare Committee,D
"여성가족부장관은 전체 우리가 여성가족부가 존재하는 이유도 그렇고, 모든 여성이, 더더구나 가장 차별의 대상, 다중적인 차별의 대상에 놓여 있고 불평등한 상황에 놓여 있고 가장 열악한 상황에 놓여 있는 장애 여성에 대해서 어떤 것을 동원해서라도 적극적으로 불평등을 해소하고 적극적인 지원이 갈 수 있도록 나서서 해야 될 책무를 가지고 있는 기관이다 이렇게 생각합니다.","Even considering the purpose of its establishment, I believe that the Ministry of Gender Equality and Family is an organization that has the responsibility to proactively eliminate inequality and provide active support by mobilizing all means possible for all women, especially women with disabilities who are the targets of multiple discrimination and are in the most unequal and disadvantaged situations.",H,Women,Eliminating discrimination and inequality against women,,,18,303,7,Special Committee on Budget and Accounts,F
과연 생명권이 절대 우위라는 것이 잘못된 것인가라는 데 대해서 저는 의문을 가지고 있습니다. 생명권은 그야말로 절대 우위에 두어야 되는 것이 아닌가라는 것이 제가 가지고 있는 생각이고 그리고 이 생명권에는 여성의 자기결정권을 양보를 해야 되는 그러한 천부적인 권리가 아닌가 이런 생각을 해 보게 되는 것입니다.,"I question the argument that the right to life has absolute priority. I believe the right to life should be given absolute priority, and that women's right to self-determination has an inherent position that must be compromised.",L,Women,Women's right to self-determination,,"Next, let us look at the problems with the amendment—page 3. Taken as a whole, there is the question of whether the amendment aligns with public opinion. Everyone is saying that, as Korea has become a low-birthrate country, it will face serious difficulties in 30 or 40 years. To overcome the low birthrate, I believe legislation should be framed to preserve as many lives as possible.",21,382,14,Legislation and Judiciary Committee,K
"정종기 사무처장은 정통부하고 방송통신위원회에서 잔뼈가 굵은 공직자입니다. 그런데 이분이 지난번 종편 재승인 과정에서 심사자료 비공개해서 물의 빚었지요? 종편백서 비공개로 논란의 중심에 섰지요? 하여튼 이 종편에 관한 한 말썽을 무지하게 많이 부리신 분으로 유명한 분입니다. 제가 그래서 오늘 시간이 있으면 이분한테 여러 가지를 묻고 싶었는데, 방송은 물론이고 단통법이니 관련해서 많이 묻고 싶었어요. 그런데 시간이 없어서 제가…… 그런데 이분은 도대체 어떻게 생기셨습니까? 한번 얼굴 좀 뵐까요? 굉장히 잘생기셨네요.","Secretary General Jeong Jong-gi, a veteran public official at the Ministry of Information and Communication and the Korea Communications Commission, was at the center of controversy during the last comprehensive programming reapproval process due to the non-disclosure of review data and the comprehensive programming white paper. He's famous for sparking much controversy surrounding comprehensive programming. So, if I had time today, I'd like to ask him about various things, including broadcasting and the Single Channel Act, but I don't have time. What does he look like? Would you like to meet him? He's very handsome.",L,Men,You have a handsome face,,,20,346,,"Committee on Science, ICT, Future Planning, Broadcasting and Communications",A
집사람은 방송통신대학을 졸업하고 한양대 대학원에서 사회복지학을 전공했습니다.,My wife graduated from Korea National Open University and majored in Social Welfare at Hanyang University Graduate School.,L,Women,Housewife,,,20,351,2,Safety Administration Committee,A
그래서 어느 때보다도 이러한 여성들의 경제활동 지원을 위한 보육정책이 중요하고 또한 보육 때문에 경력이 단절되고 있는 여성의 재취업을 어떻게 보장하느냐라고 하는 것이 굉장히 중요하다고 생각합니다.,"Childcare policies to support women's economic activities are more important than ever, and we desperately need to consider ways to ensure re-employment for women whose careers are interrupted by childcare.",H,Women,Reemployment,,,17,256,,Gender Equality and Family Committee,P
"특히 여성 장애인 같은 경우는 교육 부문에서도 사실은 남성 장애인에 비해서 많이 뒤떨어지고 있습니다. 사회적 약자, 정말 경쟁에 있어서 뒤처질 수밖에 없는 그런 사람들에 대한 우리 사회의 배려가 정말 절실하다고 느껴지고요. 또 사회에서 기업들이 좀 인식이 많이 개선이 돼서 각 기업들에서 정부기관에 여성 장애인들의 수요를 많이 원하고 있습니다. 그런데 공급이 달리고 있는 그런 안타까운 실정이 있습니다. 일을 주고 싶어도 일을 할 수 있는 여성 장애인들이 미비하다는 것은 그만큼 우리 사회에서 여성 장애인들에 대한 배려와 교육․훈련이 필요하다는 겁니다. 그렇기 때문에 앞으로 우리 여성 장애인들, 특히 경쟁력이 떨어지는 이 장애인들에 대한 장관님의 고심과 정책 대책이 필요하다고 생각합니다.","Consideration for women with disabilities, especially in the education sector, lags far behind that for men with disabilities. I feel a profound need for our society to provide more consideration for those who are socially disadvantaged and inevitably left behind in competition. Companies' awareness has improved significantly, and they are increasingly requesting women with disabilities, but the supply is unfortunately insufficient. The fact that there are not enough women with disabilities available even if they are willing to hire demonstrates the need for consideration, education, and training for women with disabilities in our society. Therefore, I believe the Minister needs to consider and implement policies to address women with disabilities, especially those who are less competitive.",H,Women,Women with disabilities lag far behind men with disabilities,,,18,278,17,Special Committee on Budget and Accounts,D
‘3사관학교 여성 응시자에게 산부인과 진료기록을 요구했다’ 이런 게 지금 온 언론에 틀면 나오는 상황입니다. 대한민국의 군에 대한 이미지가 실추할 대로 실추했다고 생각하는데 이 보고 받으셨어요?,I believe the image of the ROK military has been tarnished to the core by the news that female applicants to the three military academies were asked to submit their obstetric and gynecological records. Have you received any reports on this?,H,Women,Obstetrics and Gynecology,,,20,345,2,Special Committee on Budget and Accounts,G
"‘여신도가 나를 위해 속옷을 내리면 내 신자고, 그렇지 않으면 내 신자 아니다’, 이런 황당무계한 또 어떻게 보면 성희롱적 발언을 해서 물의를 일으킨 사람입니다.","Anyone who takes off their underwear for me is my believer, and anyone who doesn't is not. This is the person who sparked controversy by making such absurd and sexually harassing remarks.",H,All genders,Sexually harassing remarks,,,20,371,,Public Administration and Security Committee,A
제 생각에 50%는 안 되더라도 다만 얼마라도 여성을 존중해 주는 그런 사회가 됐으면 좋겠습니다.,"Even if that percentage isn't 50%, I hope we can create a society that respects women even a little.",H,Men,Respect for Women,,,18,303,,Health and Welfare Committee,F
그러나 여성이 사회활동에 참여하기 위해서는 먼저 가부장적 인식속에서 아직도 척결되지 않고 있는 성차별적 사회인식의 벽을 뚫는 것 외에도 육아의 부담을 해결해야 하는 또 다른 벽을 넘어야 된다고 생각합니다.,"However, for women to participate in society, I believe they must first overcome the lingering gender discrimination inherent in patriarchal social perceptions, as well as the burden of childcare.",H,Men,Patriarchal perceptions,,,15,197,2,Special Committee on Women,F
"그분이 아홉 차례, 84개월이나 복역한 전과자지요. 그 여성분에 대해서 면담을 해 가지고 세 차례나 정신 감정을 하고, 그래서 이 사람한테는 처벌보다는 치료를 받게 해야겠다 해 가지고 오산에 있는 여성출소자 생활관에 입소를 시키면서 ‘이제 다시는 무임승차 같은 것을 하지 마라’ 이렇게 달래고 잘 해 가지고 또 직원들까지 보내서 그 입소를 도와주었다고 합니다. 그래서 그 여성분은 정신 치료를 받으면서 지금은 봉투 만드는 작업까지 하고 있다 이런 경북 지방의 언론보도를 보고 제가 감명을 받았습니다.","This woman is a former convict who served a total of 84 months in prison on nine separate occasions. After undergoing a psychiatric evaluation and three separate interviews, the judge determined that treatment was more important than punishment. She was admitted to the Women's Ex-Convict Dormitory in Osan, where she was told, ""Never ride without paying again."" Staff were even dispatched to assist her. I was deeply moved by a local media report from Gyeongbuk Province that the woman, while receiving psychiatric treatment, was now even making envelopes.",L,Women,Women,,,18,,,"Legislation and Judiciary Committee - October 16, 2008",R
우선 저희 집사람은 우편물에 대해서는 일절 손을 대지 않습니다.,"First of all, my wife never touches the mail.",L,Women,Housewife,,,18,300,3,Environment and Labor Committee,Q
코로나로 인해서 돌봄에 공백이 생기면서 교육의 격차를 겪고 있는 아동들은 저희가 부르는 우선보호대상 아동입니다. 그래서 이 아동들에 대해서는 평소에는 지역아동센터와 다함께돌봄센터를 통해서 아이들이 와서 보호받으면서 숙제도 하고 했는데 잠시 폐쇄를 했어야 했기 때문에 어려움이 있었습니다만 전국 4000개의 지역아동센터에 오는 아이들은 집에 어머니가 계시는 경우가 별로 없습니다.,"Children experiencing educational gaps due to the COVID-19 pandemic, which has created a gap in childcare, are included in priority protection. Normally, these children would be cared for and given homework at community children's centers and community care centers, but the temporary closures presented challenges. Few of the 4,000 community children's centers nationwide have mothers at home during the day.",L,Women,Mother,,,21,382,,Health and Welfare Committee,D
"제가 생각할 때 엄마가 직장을 다니기 위해서는 시간이 앞뒤로 좀더 길어야 아기를 맡기고 직장에 갈 수 있는데 이런 시설에 대한 것을 전반적으로 보건복지부의 직원들이, 전문가가 많으니까 한 번 더 생각을 해 가지고 정말 아기를 편안하게 맡길 수 있는 그런 정책을 마련해 주셔야 되지 않나 싶고요.","I believe that for working women to entrust their children to these centers, childcare hours need to be extended. The Ministry of Health and Welfare's experts should revisit this issue and develop policies that truly make leaving children comfortable.",H,Women,Mom,.,,18,293,2,Health and Welfare Committee,K
용산에 있는 병원까지 가는 데는 이런 사정도 작동을 했습니다. 당시 분만실의 수간호사가 제 집사람하고는 친한 친구 였습니다.,This is one reason I went to the hospital in Yongsan. The head nurse in the delivery room at the time was my wife's close friend.,L,Women,Housewife,,,19,320,2,Special Committee on the Confirmation Hearing for the Motion to Approve the Appointment of the Chairman of the Board of Audit and Inspection (Hwang Chan-hyun),R
그래서 저도 초선 의원이라서 제 얼굴이 KBS에 나오려나 해서 그날 저녁에 저희 집사람 보고 보라고 했더니 전혀 나오지 않았다는 것입니다.,"As a first-term lawmaker, I asked my wife to check if I would be featured on KBS that evening, and she said I wasn't.",L,Women,Housewife,,,17,250,,Culture and Tourism Committee,A
"자료 하나 더 요청하겠습니다. 지금 여기에 보면 여성에 대한 직업훈련은 주부, 고령, 실업자 등 모두 여기에 넣어서 훈련을 하고 있는 듯한 느낌을 받습니다. 물론 여성인력에서 보다 잠재인력으로 활용해야 할 인력도 있지만 여성인력 자체를 잠재적 인력으로만 생각해 가지고는 아주 낮은 직종의 주변적인 노동으로만 생각하고 훈련하려는 발상에 대해서는 전환이 있어야 되는데 노동부에서 직업훈련을 할 때 이미 들어와 있는 여성노동력을 보다 더 고급노동력화하면서 중심 노동력으로 들어갈 수 있는 직업훈련을 어떻게 실시하고 있는지 그것을 자료로 제출해 주시기 바랍니다. 지금 여성계의 요구는 모든 직업훈련에 있어서 여성이 골고루 그 기회를 놓치지 않고 들어가야 한다는 주장을 하고 있는데 자료에서는 지금 놀고 있는 주부들의 잠재능력을 어떻게 개발해서 노동력화할 수 있느냐 하는 것에만 집중되어 있는 듯한 인상을 지을 수가 없는데 그렇지 않은 자료들과 함께 제출해 주시기 바랍니다.","I'd like to request another document. Looking at this, it seems like the vocational training for women is being provided to housewives, the elderly, and the unemployed. Of course, there are women who deserve to be utilized as potential talent. However, there needs to be a shift in thinking about women as merely potential talent, assuming they can only perform peripheral tasks, and training them accordingly. Please submit data on how the Ministry of Employment and Labor is implementing vocational training programs to develop women into a more sophisticated and central workforce. Currently, women's groups argue that women should have opportunities to participate in all vocational training programs, but the data seems to focus solely on developing the potential of housewives who currently perform only housework and transforming them into laborers. Please also submit data that refutes this.",H,Women,"Women’s labor force, women’s workforce",,,15,180,4,Environment and Labor Committee,K
"그런데 제가 아까 근거가 없다는 말씀은 제가 잘 몰라서, 우리 위원님이 질문하신 것 중에 박 전 차관님한테 돈 줬다는 것하고 저희 집사람하고 친하다는 그런 말씀에 근거 없다는 말씀을 하려고 했는데 전체적으로 그게 확대 해석된 것 같아서 사과드리겠습니다, 이 자리에서라도.","I answered earlier that I was not fully aware of the evidence, so there was no basis for it. I was going to say that the allegations about giving money to former Vice Minister Park and being close to my wife were unfounded, but I apologize for the overinterpretation.",L,Women,Housewife,,,18,303,,National Policy Committee,M
존치를 해야 되고 동성애 같은 것은 법적으로 금할 수는 없지만 그것이 군대 내에서는 결코 바람직하고 확산되는 것은 아니다ㆍㆍㆍㆍㆍㆍ,"While homosexuality may not be legally prohibited, it is by no means desirable within the military.",L,Men,Homosexuality is legally prohibited in the military,,,20,354,,National Defense Committee,F
"그러니까 이것을 탓하려고 하는 것이 아니라 우리나라가 여러 분야에서 여성 활동이 괄목하게 성장을 하고 있습니다. 그런데 사실 사회활동의 꽃이라고 할 수 있는 정치 분야에서는 아직 너무 미약하다, 그래서 앞으로 물론 여당에서 비례대표 할당을 했고 아마 야당에서도 이런 제안을 하게 될 텐데 너무 여성계가 정치권의 눈치나 보고 끌려다니면 안 된다, 적극적으로 정치에 참여할 수 있는 방안이 마련되어야 한다는 생각이 듭니다. 그런 대책을 마련해 주시고,그런 대책을 어떤 것을 마련한 적이 있나 하는 것을 답변해 주십시오.","So, I'm not trying to blame you. Women's activism in our country is growing remarkably in many areas. However, in politics, the quintessential social sphere, it's so underdeveloped. The ruling party has allocated a certain number of proportional representation seats to women, and the opposition party will likely follow suit. I believe women shouldn't be swayed by the political establishment, but should find ways to actively participate in politics. Please develop such measures, and please tell us about any past measures.",H,Women,"Politics, Women's Activities",,,15,208,,"The 15th National Assembly, 208th Session, House Steering Committee",J
"제가 왜 이런 말씀을 드리냐 하면, 우리 한국의 영유아의 부모님들, 아마 영유아 같으면 모성의 보호 아래서 길러져야 굉장히 바람직하지 않겠나 싶은데, 요즘 어린이집의 운영 정상화를 위해서 가정에서 길러져야 될 애들이 어린이집에 맡겨져야 되는 상황이 전개가 되고 있습니다.","The reason I'm saying this is because I believe it's highly desirable for infants and young children to be raised under maternal care. However, in an effort to normalize daycare operations, children who should be raised at home are being placed in daycare centers.",L,Women,Mother,,,20,346,,Health and Welfare Committee,O
"본인이 주최하신 행사, 성소수자들 관련된 ‘한국 성소수자 인권의 현주소’라는 데서 얼마나 과격한, 너무 적나라해서 제가 차마 여기에서 읽을 수가 없습니다.","The event you hosted, ""The Current State of Sexual Minority Human Rights in Korea,"" is so explicit that I can't even bring myself to read it here.",L,Sexual minorities,Gender minorities,,,20,354,,"Special Committee on the Confirmation Hearing on the Motion for Consent to the Appointment of the Chief Justice of the Supreme Court (Kim Myeong-su), 2nd Meeting of the 354th Session of the 20th National Assembly",J
"위키피디아 백과사전에 보면 ‘동성애라는 것은 본질적인 인권이 아니라 논란 중인 권리에 해당된다’, 그런데 이것을 인권적인 측면으로 접근하는 것하고 이게 사회적 합의라든지 이런 부분이 안 된 부분을 너무나 단순하게 이렇게 접근함으로써 논란을 일으키면서 많은 사람들의 우려를…… 후보자가 지금 인권위원장이 되면 절대 안 된다는 거예요. 그러니까 지금 공직의 더군다나 수장인 사람은 대한민국의 보편적 성도덕을 수용하는 균형적 시각을 갖춘 경륜 있는 인사를 위원장으로 지명해야 되는데 후보자는 그렇지 못하다는 거예요. 성소수자의 인권을 운운하면서 실지는 성소수자한테 굉장히 유리한 그런 행위에 많이 가담을 했다는 것이 심히 저는 후보자가 기관장으로서 부적절하다 그렇게 말씀드리고 싶고요.","The Wikipedia encyclopedia states that ""homosexuality is not a fundamental human right, but a controversial one."" However, the candidate's approach to this issue from a human rights perspective, and his overly simplistic approach despite the lack of social consensus, has sparked controversy and raised significant concerns. Therefore, the candidate should absolutely not become the head of the National Human Rights Commission. Therefore, a public official, especially a leader, should possess a balanced perspective and experience that embraces Korea's universal sexual morality. The candidate lacks this. The fact that he has engaged in numerous acts that are highly advantageous to sexual minorities while promoting their rights demonstrates his unsuitability as head of an organization.",L,Sexual minorities,Homosexuality: a contested right,,,20,363,1,Steering Committee of the National Assembly,C
"따라서 신랑 신부 결혼연령 차이의 증가, 재혼의 증가, 해외로부터의 신부 수입, 독신의 증가 등 전통적인 결혼풍속도에 변화가 올 것이고 동시에 짝짓기의 실패로 인한 성폭력이나 포르노 등 성과 관련된 범죄의 증가와 남성동성애로 인해 에이즈와 같은 성병의 증가도 우려됩니다.","Therefore, changes in traditional marriage customs are expected, including an increase in the age gap between bride and groom at the time of marriage, an increase in remarriage, the importation of brides from overseas, and an increase in single-parent families. Simultaneously, there are concerns about an increase in sexual crimes such as sexual assault and pornography due to failed relationships, as well as an increase in sexually transmitted diseases like AIDS caused by male homosexuality.",L,Sexual minorities,Men,,,15,183,10,Plenary Session of the National Assembly,G
"그리고 저는 단지 개인의 능력을 보는 것이 아니라 여성이 산하기관의 장으로 왔을 때 얼마만큼 능력을 발휘하고 남성들 못지않는 전문성과능력을 보여줄 수 있을 것인가, 그런 굉장히 중요한 잣대이자 시험대라고 생각을 합니다.","I consider this issue crucial, not just as a measure of individual ability, but as a crucial yardstick and test bed for whether a female leader can demonstrate expertise and capabilities comparable to those of her male counterparts when leading subordinate organizations.",L,Women,Woman,,,17,256,,"Committee on Culture and Tourism, 256th Session of the 17th National Assembly",J
"특히 여군들의 경우에는 장교 선발에서 생기는 문제가 굉장히 많아서 장교 선발 대상자의 지휘관 평가점수를 혹시라도 우월적 지위를 이용한 성 문제가 발생하지 않도록 제도를 개선하고 있고. 가장 중요한 것은 반복적인 교육이라 해서 1년에 한 차례 받는 성인지 교육을 분기마다 한 차례씩 받도록 하고 이것을 진급이나 인사 관리에 반영하고, 그래도 범죄를 저질렀을 때는 군에서 퇴출시키는 등 엄정하게 해 나가겠습니다.","In particular, for female soldiers, there are many problems arising during the officer selection process. We are improving the system to prevent the commander evaluation scores of officers selected for officer positions from being abused for sexual favors. Furthermore, as a key measure, we will emphasize repetitive training. Gender awareness training will be increased from once a year to once every quarter, and this will be reflected in promotions and personnel management. We will also take strict action, including expulsion from the military, if a crime is committed.",H,Women,Women,,,19,2015,,National Assembly Inspection of State Affairs – Legislation and Judiciary Committee,R
"저희 집사람 병원에서 일어나는 부분은 다 자료로, 세무사에서 다 하는 거고요. 세무사에게 위임해서 다 처리하는 것이고 그 부분에 대해서는 다 해명이 되었다고 들었는데요, 제가.","My wife's hospital's accounting and related data are all handled by a tax accountant, and as far as I know, this matter has already been explained.",L,Women,Housewife,,,19,313,2,Health and Welfare Committee,M
여검사의 공안부 배치입니다. 저희 청은 청 내 부 배치 시 여검사인 서인선 검사를 공안부에 배치하였습니다. 그럼으로써 공안부 이미지를 부드럽게 변화시키는 한편 청 운영의 효율성을 도모하고 여검사들의 사기를 진작시키는 효과가 있을 것으로 기대하고 있습니다.,"This is the assignment of female prosecutors to the Public Security Department. Our agency has assigned a female prosecutor, Prosecutor Seo In-seon, to the Public Security Department. This assignment is expected to soften the image of the Public Security Department, while also improving operational efficiency and boosting the morale of female prosecutors.",L,Women,Women,,,16,243,,Legislation and Judiciary Committee,C
"그다음에 각 군별 여성 검찰관 및 수사관 현황을 보면 검찰관 현황을 보면 육군은 여성이 일곱 분 남성이 여든 둘입니다. 해군은 여성이 한 명도 없습니다, 남성만 스무 명. 공군은 여성 한 명 남성 스물한 명, 수사관도 보면 여성이 육군은 아홉 분, 해군은 둘, 그중의 한 명은 육아휴직이고요. 그다음에 공군은 셋 이런 정도입니다. 이러다 보니까 여군의 숫자는 날로 증가하고 있는데 실제 우리 국방부에서 추진하는 여군에 대한 배려 문제, 정책개발 이러한 부분을 소홀히 하고 있다고 저는 생각하는데 장관께서는 어떻습니까?","Next, let's examine the status of female prosecutors and investigators by military branch. The Army has seven female prosecutors and eighty-two male prosecutors. The Navy has no female prosecutors, only twenty males. The Air Force has one female and twenty-one males. As for investigators, the Army has nine female investigators, the Navy has two (one of whom is on parental leave), and the Air Force has three. Despite the increasing number of female soldiers, I believe the Ministry of National Defense is neglecting the issues of consideration for female soldiers and developing related policies. What is your assessment of this, Minister?",H,Women,Women,,,19,2013,,"Legislation and Judiciary Committee (October 28, 2013)",R
"회사에서 퇴직해 가지고, 워낙 집사람이 몸이 안 좋으니까 큰딸로서 책임을 한 것인데 저는 한없이 감사하게 생각합니다.","My wife was in poor health, so my eldest daughter retired and took on the responsibility, and I am immensely grateful.",L,Women,Housewife,,,17,272,1,Environment and Labor Committee,M
"더군다나 지난 2월에 국정원 여직원 댓글 관련, 의원실에서 집중적으로 추가 ID와 또 추가 국정원…… 이번에 지금 입건됐는데요.","Moreover, in February, regarding the comments made by the National Intelligence Service female employee, the assembly member's office intensively investigated additional IDs and an additional NIS employee. This employee has now been formally charged.",L,Women,Women,,,19,314,1,Safety Administration Committee,P
"문란한 암컷, 수틀리면 표변, 꽃뱀 발생 이유","Promiscuous females, drastic changes when things go wrong, and the reasons for the emergence of gold diggers.",L,Women,Women,"Jeon Joo-hye: One of them is a sitting prosecutor. Let’s take a look. Prosecutor Jin Hye-won has been continuously subjecting the victim to secondary victimization since July 30 of last year. In particular, in the last item shown, on January 15 of this year, she used very harsh insults against the victim, calling her things like “a promiscuous ‘female’ who turns vicious when crossed” and “a ‘gold-digger,’” even posting “Why gold-diggers exist.” What is your view of such remarks by a prosecutor? You agree they are inappropriate, don’t you?",,21,383,5,Legislation and Judiciary Committee,D
그리고 13세 이하의 소녀들을 매매로 돈주고 추행하거나 성폭력을 한다는 것은 이 사회에서 뿌리 뽑아야 됩니다.,"Furthermore, the acts of selling, sexually assaulting, or committing sexual violence against girls aged 13 or younger in exchange for money must be eradicated from this society.",H,Women,Sexual violence,,,16,225,,National Policy Committee,D
그러려고 보면 비정규직이나 시간제에 대해서 소위 말하는 우대임금제를 빠른 시간 내에 저출생 정책의 일환으로 도입해야 할 것 같은데 어떻게 생각하세요?,"If so, it seems we should quickly introduce what is called a preferential wage system for non-regular or part-time workers as part of a low birth rate policy. What are your thoughts on this?",H,Women,low birth rate,,,21,404,2,Special Committee on the Demographic Crisis,D
여성영화인협회 조사자료에 따르면 현장 여성영화인 96명 중 기혼자가 3명입니다. 3%밖에 안 되는데요.,"According to a survey by the Women in Film Association, only 3 out of 96 female film professionals currently working in the field are married. This is only 3%.",H,Women,Ratio,I'm also really looking forward to the programs for the underprivileged. What I'm even more looking forward to is,I think the reason it’s so difficult is that the film industry is an environment married women find hard to endure.,17,256,,Culture and Tourism Committee,E
이는 여성에게만 부당한 근로조건을 제시한 남녀차별적 계약이고 헌법이 보장하는 개인의 행복 추구권을 침해한 계약입니다.,This is a discriminatory contract that presents unfair working conditions only to women and infringes upon the individual's right to the pursuit of happiness guaranteed by the Constitution.,H,Men,Women,"In this contract, women are depicted as negative figures who are overly emotional and seek only private encounters with male employees. Based on this view, the contract restricts women from engaging in such private encounters and stipulates that pay will be suspended in the event of a violation.",,19,320,,Gender Equality and Family Committee,F
가정이 여자의 가정과 남자의 가정이 따로 있는 것이 아니기 때문에 여성의 지위를 향상시키는 것이 아무런 반사효과가 없이 되는 것이 아닙니다.,"Since a household is not separate into a woman's household and a man's household, improving the status of women does not happen without any ripple effects.",L,Women,The status of women,,,16,228,1,Legislation and Judiciary Committee,E
"그래서 내년부터는 사용자 측에서 인사노무에 한정되지 않고 법무에 관련, 이런 전문가 여성을 모시면 아마 성 불균형이 해소가 될 것 같습니다.","Therefore, starting next year, if employers invite female experts not limited to human resources and labor management but also related to legal affairs, the gender imbalance will likely be resolved.",H,Women,Gender Imbalance,,,21,382,,Environment and Labor Committee,F
이주여성의 인권과 사회 보장 문제가 아주 심각한 수준입니다.,The issue of human rights and social security for migrant women is at a very serious level.,H,Men,Human Rights and Social Protection,,,20,371,,Health and Welfare Committee,F
"정말 대부분의 범죄, 우범 청소년들의 경우에 있어서는 가정환경이 정말 나쁩니다. 특히 편모, 어머니가 없는 경우 그게 가장 큰 문제가 있더라고요. 그래서 그 사람들 그냥 무작정 사회로 불구속이다 뭐다 해 가지고 내보내면 그 사람들은 경우에 따라서 범죄로부터 헤어나지 못할 때가 있습니다.","Indeed, in most crimes, especially those involving at-risk youth, the family environment is very poor. In particular, the absence of a mother in a single-parent family seems to be the biggest problem. Therefore, if we simply release them back into society without detention, they may sometimes be unable to escape from crime.",L,Women,Mother,,,19,311,3,"Special Committee on Confirmation Hearings for the Appointments of Constitutional Court Justices (Kang Il-won, Kim Yi-soo, Ahn Chang-ho)",D
그런 문제제기가 타당한데 그러나 실제로 여성근로자가 성희롱을 당하는 경우가 더 많은데 여성근로자가 성희롱 당한 것을 남성근로자한테 가서 그것을 일일이 얘기하기에는 김위원님이 생각하셔도 그게 좀 어렵지 않습니까?,"That raising of the issue is valid. However, since female workers are actually subjected to sexual harassment more often, wouldn't it be difficult, even in your opinion, Committee Member Kim, for a female worker who has been sexually harassed to go and tell a male worker about it in detail?",H,Women,Workplace sexual harassment,,,16,215,2,"16th National Assembly, 215th Session — Environment and Labor Committee, 2nd Meeting of the Subcommittee on Bill Review",J
"과거에는 정치의, 정권의 시녀 이런 얘기까지 들었으니까, 정권 유지를 위해서.","In the past, they were even called handmaidens of politics, of the regime, for the sake of maintaining power.",L,Women,lady-in-waiting,,,21,382,,Legislation and Judiciary Committee,B
"모성보호에 대해서 사회적 관심이 높아졌습니다. 출산과 육아를 국가와 사회가 책임져야 한다는 의식이 확산되고 있습니다. 차관, 모성보호사업의 재원이 고용보험기금이지요?","Social interest in maternity protection has increased. The awareness that the state and society should be responsible for childbirth and childcare is spreading. Vice Minister, the financial source for maternity protection programs is the Employment Insurance Fund, is it not?",H,Women,Maternity protection,,,19,,,Standing Committee: Environment and Labor Committee,R
결국 우리가 각종 지원제도를 마련해도 근본적인 인식 개선이 뒤따라 주지 않으면 결혼이주여성들의 피해 역시 계속될 우려가 있다고 생각되고요.,"Ultimately, I believe that even if we establish various support systems, if fundamental changes in perception do not follow, the damage to married migrant women is likely to continue.",H,Women,Improving perceptions of marriage‑migrant women,,,20,370,2,Gender Equality and Family Committee,F
"여성과 남성노동자들에 대한 차별이 있고, 현재 복지부에서 제출한 ‘청소용역인건비 산출내역’ 자료에 보면…… 남성노동자들에게는 시급이 5180원, 여성에게는 4320원 이렇게 차별하게 지급을 하고 있고, 100명 중에서 책임자 1명, 소장 1명, 감독반장 17명 제외하면 현재 81명이 환경미화원인데 그중에 여성이 71명이에요.","There is discrimination against female and male workers. According to the data on the calculation of labor costs for cleaning services submitted by the Ministry of Health and Welfare, male workers are paid 5,180 won per hour, while women are paid 4,320 won, showing discriminatory payment. Excluding 1 manager, 1 head, and 17 supervisors out of 100 people, there are currently 81 sanitation workers, 71 of whom are women.",H,Women,Workers and Discrimination,,,18,303,,Health and Welfare Committee,E
